NOME,ANO,FASE,IAA,IAN,IDA,IDADE,IEG,INDE,INGRESSANTE,IPP,IPS,IPV
ALUNO-1071,2021,2.0,9.5,5.0,5.7,13.0,7.1,7.194,1.0,7.3,7.5,8.6
ALUNO-1071,2022,2.0,9.50002,5.0,3.583333333333333,13.0,5.417989417989419,5.750265883597884,0.0,6.041666666666667,5.625,6.666663333333332
ALUNO-1072,2020,3.0,8.75001,10.0,7.333333333333333,12.0,8.3,8.193334333333334,0.0,8.749999999999998,7.5,7.833333333333334
ALUNO-1072,2021,3.0,9.2,10.0,4.6,13.0,5.3,7.033,0.0,7.5,7.5,8.2
ALUNO-1072,2022,3.0,9.58335,5.0,4.122222222222223,14.0,3.81578947368421,5.371978339181286,0.0,6.09375,7.5,4.83333
ALUNO-1073,2020,,,,,,,,1.0,,,
ALUNO-1073,2021,1.0,8.5,5.0,5.4,13.0,8.3,6.914,1.0,7.5,7.5,6.6
ALUNO-1073,2022,1.0,0.0,5.0,4.0,13.0,6.249084249084249,5.334539516483517,0.0,6.458333333333334,7.5,6.944446666666666
ALUNO-1074,2020,,,,,,,,1.0,,,
ALUNO-1074,2021,,,,,13.0,,,0.0,,,
ALUNO-1074,2022,1.0,8.000020000000001,5.0,5.833333333333333,13.0,6.25,6.581946666666667,1.0,6.041666666666667,7.5,7.555556666666667
ALUNO-1075,2020,4.0,9.16668,10.0,6.666666666666667,14.0,9.8,8.796113333333334,1.0,8.749999999999998,10.0,8.55556
ALUNO-1075,2021,5.0,7.5,10.0,6.3,15.0,7.2,7.859,0.0,7.8,7.5,9.4
ALUNO-1075,2022,5.0,7.5,5.0,6.744444444444444,16.0,9.580419580419582,7.566015304972806,0.0,7.96875,5.625,8.458337499999999
ALUNO-1076,2020,,,,,,,,1.0,,,
ALUNO-1076,2021,,,,,13.0,,,0.0,,,
ALUNO-1076,2022,3.0,8.75001,5.0,3.75,13.0,7.357142857142857,6.116219571428572,1.0,7.03125,7.5,5.333325
ALUNO-1077,2020,0.0,9.500020000000001,10.0,7.5,8.0,10.0,8.254168,0.0,6.875,7.5,6.83333
ALUNO-1077,2021,,,,,9.0,,,0.0,,,
ALUNO-1077,2022,,,,,10.0,,,0.0,,,
ALUNO-1078,2020,1.0,7.4166799999999995,5.0,10.0,11.0,8.0,7.804168000000001,1.0,7.083333333333334,6.875,7.833333333333333
ALUNO-1078,2021,2.0,9.0,5.0,0.0,12.0,1.7,4.45,0.0,7.7,8.1,5.7
ALUNO-1078,2022,2.0,8.000020000000001,5.0,5.583333333333334,13.0,7.662464985994397,6.511662330532213,0.0,6.458333333333334,7.5,5.833336666666667
ALUNO-1079,2020,1.0,9.000020000000001,5.0,4.25,10.0,6.7,6.602502,1.0,7.291666666666667,7.5,7.666666666666667
ALUNO-1079,2021,,,,,11.0,,,0.0,,,
ALUNO-1079,2022,,,,,12.0,,,0.0,,,
ALUNO-108,2020,,,,,,,,1.0,,,
ALUNO-108,2021,,,,,13.0,,,0.0,,,
ALUNO-108,2022,0.0,9.000020000000001,5.0,8.416666666666668,13.0,8.565610859728508,7.642290505279036,1.0,5.625,7.5,7.666665
ALUNO-1080,2020,,,,,,,,1.0,,,
ALUNO-1080,2021,,,,,13.0,,,0.0,,,
ALUNO-1080,2022,2.0,7.50002,5.0,0.0,13.0,6.481481481481481,5.411575629629629,1.0,6.041666666666667,7.5,7.555553333333333
ALUNO-1081,2020,5.0,8.33334,5.0,4.0,16.0,6.7,5.2535425,1.0,6.09375,3.125,4.2916675
